Birdname;Species;Sex;Birthday;Uncertainty;Cage;Father;Mother;Date of death;Cause of death;Comment;Reserved
974;ZF;M;01.07.2006;0;A-UL;;;;;Breeder. Left behind by Sandra. Good singer. Use as Tutor;TRUE
a3-r16;ZF;;29.12.2006;4;;red16;green12;12.02.2007;End of Exp.;;FALSE
a4-yellow1;ZF;M;11.06.2007;3;;yellow1;green12;25.07.2007;End of Exp.;;FALSE
a5-yellow1;ZF;M;11.06.2007;3;;yellow1;green12;30.07.2007;End of Exp.;;FALSE
a6-r12p;ZF;;01.07.2007;3;;r12p-y7o;o8p-y8;21.08.2007;End of Exp.;;FALSE
a7-o20o;ZF;M;15.07.2007;2;;o20o-ch900;r12o-o4k;22.08.2007;End of Exp.;;FALSE
a8-g6r1;ZF;;01.09.2008;4;;g6r1;p9r2;10.10.2008;End of Exp.;;FALSE
a9-g6r1;ZF;M;01.09.2008;4;;g6r1;p9r2;13.10.2008;End of Exp.;;FALSE
b10br-b3k;ZF;F;24.03.2007;5;;b3k;green9;25.06.2009;NE;not in KU 01.11.2007. Not found, presumed dead. (-janie, 25.june.2009);FALSE
b10br-y16p;ZF;F;02.04.2007;3;;y16p-s2;o12o-r12k;24.07.2007;Given away;Given away to Johanna;FALSE
b10k-y6;ZF;M;02.01.2006;0;;yellow6;;24.09.2006;NE;One syllable.;FALSE
b10o-p11k;ZF;M;06.06.2006;2;;p11k-ch900;g16k;16.01.2007;End of Exp.;;FALSE
b10p-red16;ZF;F;29.12.2006;4;;red16;green12;29.03.2007;End of Exp.;;FALSE
b10r1;ZF;M;07.06.2007;1;;y7o-r16;r11o-o4k;17.12.2007;End of Exp.;;FALSE
b10r10;ZF;M;11.09.2009;5;2M1;p2r5;b5r7;;;;FALSE
b10r2;ZF;F;01.09.2007;5;;yellow1;green12;21.08.2008;NE;euthanized;FALSE
b10r3;ZF;M;28.12.2007;4;;b16r1;o11p-p20;06.11.2009;End of Exp.;"There is a bird ringed b10r3 which was listed in the database during coupling as g12r2. Claude marked this ""b10r3"" as dead bird since it no longer exists.  (01.05.2009). Janie resurrected this bird, as it was found in KO on 20 June 2009. Reserved for Janie";FALSE
b10r4;ZF;M;07.03.2008;1;;s3k-y8;r11o-o4k;18.06.2008;Perished;Bird perishe after third urethane injection.;FALSE
b10r5;ZF;M;;0;;;;24.07.2009;End of Exp.;bought from qualipet on 10.10.08;FALSE
b10r6;ZF;M;08.11.2008;4;;b7r5;g19r2;02.03.2009;End of Exp.;;FALSE
b10r7;ZF;M;04.02.2009;7;E2;p5r5;r2s18;;;Reserved by Claude.;TRUE
b10r8;ZF;;05.06.2009;4;;r7p1;p13r5;22.08.2009;NE;;FALSE
b11o-p11k;ZF;M;06.06.2006;2;;p11k-ch900;g16k;23.07.2008;End of Exp.;;FALSE
b11p-red16;ZF;F;29.12.2006;4;;red16;green12;24.07.2007;Given away;Given away to Johanna;FALSE
b11r1;ZF;F;30.06.2007;1;;r3p-r19o;r16o-r11;01.11.2007;Given away;Given away to Johanna;FALSE
b11r10;ZF;M;11.09.2009;5;E9;p2r5;b5r7;18.01.2010;End of Exp.;;FALSE
b11r2;ZF;F;01.09.2007;5;;yellow1;green12;20.03.2009;NE;;FALSE
b11r3;ZF;M;28.12.2007;4;;b16r1;o11p-p20;;End of Exp.;;FALSE
