Cage;MaxOccupancy;Comment;IsBreedingCage
2M1;7;;TRUE
2M2;7;;TRUE
2M2B;7;;TRUE
2M3;7;;TRUE
2M3B;7;;TRUE
2M4;7;;TRUE
2M4B;7;;TRUE
2O1;7;;TRUE
2O1B;7;;TRUE
2O2;7;;TRUE
2O2B;7;;TRUE
2O3;7;;TRUE
2O3B;7;;TRUE
2O4;7;;TRUE
2O4B;7;;TRUE
2U1;7;;TRUE
2U1B;7;;TRUE
2U2;7;;TRUE
2U2B;7;;TRUE
2U3;7;;TRUE
2U3B;7;;TRUE
2U4;7;;TRUE
2U4B;7;;TRUE
A;40;BF cage;TRUE
A-UL;0;Breeding Break Cage;FALSE
A-UR;0;;FALSE
E1;4;;FALSE
E10;4;;FALSE
E11;4;;FALSE
E12;4;;FALSE
E2;4;;FALSE
E3;4;;FALSE
E4;4;;FALSE
E5;4;;FALSE
E6;4;;FALSE
E7;4;;FALSE
E8;4;;FALSE
E9;4;;FALSE
FJ1;10;;FALSE
FJ1B;10;;FALSE
FJ2;10;;FALSE
FJ2B;10;;FALSE
FJ3;10;;FALSE
FJ4;10;;FALSE
FJ5;10;;FALSE
FJ6;10;;FALSE
FJ7;10;;FALSE
FJ8;10;;FALSE
IS10;2;;FALSE
IS6;7;;FALSE
KM;25;;FALSE
KO;25;;FALSE
KU;25;;FALSE
M1;7;;TRUE
M1B;7;;TRUE
M2;7;;TRUE
M2B;7;;TRUE
M3;7;;TRUE
M3B;7;;TRUE
M4;7;;TRUE
M4B;7;;TRUE
M5;7;;TRUE
M5B;7;;TRUE
M6;15;;TRUE
M6B;7;;TRUE
M7;15;;TRUE
M7B;7;;TRUE
MK;15;;FALSE
O1;15;;TRUE
O1B;7;;TRUE
O2;7;;TRUE
O2B;7;;TRUE
O3;15;;TRUE
O3B;7;;TRUE
O4;7;;TRUE
O4B;7;;TRUE
O5;15;;TRUE
O5B;7;;TRUE
O6;30;;TRUE
O6B;7;;TRUE
O7;7;;TRUE
O7B;7;;TRUE
R1;7;;FALSE
R2;7;;FALSE
R3;7;;FALSE
R4;7;;FALSE
R5;7;;FALSE
R6;7;;FALSE
R7;7;;FALSE
R8;7;;FALSE
R9;14;;FALSE
U1;15;;TRUE
U1B;7;;TRUE
U2;7;;TRUE
U2B;7;;TRUE
U3;7;;TRUE
U3B;7;;TRUE
U4;7;;TRUE
U4B;7;;TRUE
U5;7;;TRUE
U5B;7;;TRUE
U6;7;;TRUE
U6B;7;;TRUE
U7;7;;TRUE
U7B;7;;TRUE
ZZ1;7;;FALSE
ZZ2;7;;FALSE
ZZ-M;20;;FALSE
ZZ-O;20;;FALSE
ZZ-U;20;;FALSE
