ID;Bird;Exp Name;Start Date;End Date;Setup;Data On;Backup On;PI;SG;Comment
6;p18k-s6;Song Tutoring;15.02.2006;25.04.2006;IS1;Zut3;;Georg;1;Song tutoring phd ~30 to phd ~90. Song abnormal with too long ISI's. Structure of tutorsong copied, not so syllable structure. During learning bird produced each of the syllables of tutorsong at least once yet they do not appear in the cystallized song.
8;s6k-g14x;SR;30.03.2006;28.04.2006;IS2;Zut4;;Katja;0;
9;s6k-g14x;SR;28.04.2006;29.04.2006;E1;Zut;;Georg;0;Test recording for MD experiment
10;o5k-s17;Niflesion;09.02.2006;11.08.2006;IS3;Zut3;;Katja;2;Nif lesion in the age of ~30. injection Fluororuby at 9.8.2006 int HVC
11;o10k-g14;Nif injection Juvenile;30.03.2006;28.04.2006;E1;Zut3;;Katja;2;
12;k8k-b3k;SR;27.04.2006;29.04.2006;IS1;;;Georg;0;Bird did not sing during 3 days of recording.
13;s7k-b3k;SR;27.04.2006;29.04.2006;E2;;;Georg;0;Bird sang only once during the three recording days.
14;s6k-g14x;surgery;29.04.2006;29.04.2006;E1;;;Richard;1;Surgery - destroyed electrodes during implantation. Next time: apply wax-mineral oil mix BEFORE inserting MD.
15;p14k-p2;SR;30.01.2006;06.02.2006;IS2;Zut3;;Katja;0;
16;p16k-b3;Nif lesion;09.02.2006;11.08.2006;;;;Katja;2;Nif lesion in the age of ~30. injection Fluororuby at 9.8.2006 int HVC
17;p16k-b3;SR;23.03.2006;30.03.2006;IS2;Zut3;;Katja;0;
18;p16k-b3;SR;01.05.2006;05.05.2006;IS2;Zut3;;Katja;0;
19;silverblack;SR;28.04.2005;28.04.2005;E2;;;;0;
20;r4k-sk;SR;06.12.2005;14.12.2005;IS4;Zut3;;Katja;0;
21;r4k-sk;SR;03.05.2006;09.05.2006;IS4;Zut3;;Katja;0;
22;k20k-sg8;SR;02.05.2006;11.05.2006;E1;Zut;;Georg;0;Bird sings a lot. Song: ABCD very stereotyped. Lots of calls before and after motifs.
23;o20k-sg8;SR;04.05.2006;05.05.2006;E2;Lacie1TB;;Georg;0;Short song, iABC. Deleted Data due to a lot of noise.
24;silver6;SR;03.05.2006;11.06.2006;AS;Zong;;Richard;2;Acute experiment. I tried to record from Uva. Few HVC bursts. Lots of bleeding in Uva penetrations due to large electrode diameter.
25;k20k-sg8;MD Nif/field L;11.05.2006;06.06.2006;E1;Zut;Zut4;Georg;2;E1 and E3 clogged in guidetubes and broke. MD cover fell off and subsequently omnetics connections were damaged during the experiment. 2 weeks worth of problems with the setup.
26;y16k-b3;Acute recording in RA with Nif lesion;01.06.2006;01.06.2006;AS;;;Richard;2;Not very bursty RA. No melatonin was administered.
27;r1o-p11k;SR;22.05.2006;02.06.2006;IS1;;;Katja;0;
28;r3o-p11k;ibutenic acid lesion;23.05.2006;04.06.2006;IS3;;;Katja;3;died the night after the lesion
30;r4o-p11k;Ibutenic acid lesion NIF;23.05.2006;11.08.2006;IS4;;;Katja;2;"stopped recording at phd99   ;Nif lesion in the age of ~30. injection Fluororuby at 9.8.2006 int HVC"
31;r2o-p11k;Ibutenic acid lesion;23.05.2006;11.08.2006;IS1;;;Katja;2;"stopped recording at 99phd; Nif lesion in the age of ~30. injection Fluororuby at 9.8.2006 int HVC"
32;s9k-p11k;acute RA-Nif;06.06.2006;06.06.2006;AS;;;Katja;2;
33;r4k-sk;song recording & HVC Stim.;08.06.2006;14.06.2006;E2;Zirkel;;Claude;2;The Stim. Electrodes detached from skull during exp.
34;s4k;acute Experiment: NIF RA;08.06.2006;08.06.2006;AS;;;Katja;2;
35;r1o-p11k;SR;14.06.2006;21.06.2006;E1;Zut;;Georg;2;Bird sang a lot if left alone, seemed a bit sensitive to changes, i.e. would not sing if door was open for a while. Postponed MD experiment by one week, and by then we need a new bird.
36;y14k-s17;HVC Stim & Nif lesion;09.05.2006;06.06.2006;E2;Lacie1TB;;Claude;3;Dead two days after Nif lesion.
37;g17k-p2;song recording, HVC & LMAN Stim, NIf Lesion;14.06.2006;14.07.2006;E2;Zirkel;;Claude;2;
38;o16k-p20;Acute exp. RA activity while NIF lesion;14.06.2006;14.06.2006;AS;Zong;;Katja;2;
39;r11k-y1;search for uva, nif lesion;16.06.2006;16.06.2006;AS;;;Richard;2;did not find uva. Found nif, injected gaba. Few bursts in ra, suppressed by nif injection. Fluo ruby injection in Nif, did not enter brain very easily, might have gone astray. Made an electrolyt.  lesion 300um medial of nif, continuously in depth 4-6mm. Blood during retraction of lesioning electrode.
40;o19k-r16;Search for Uva;20.06.2006;20.06.2006;AS;;;Richard;2;Could not find UVA. Made a burn at 2.7 ap, 1.6ml, 5.7depth, where bursty neurons had been found. Bird did not sleep a lot, but moved frquently.
41;k13k-r16;HVC tracer injection;22.06.2006;24.06.2006;;;;Richard;2;
42;y1o-o4k;SR;26.06.2006;04.07.2006;E1;Zut;;Georg;0;
43;b14k-p11k;Acute recording, search for uva;28.06.2006;28.06.2006;AS;;;Richard;2;Searched for UVA in 150um steps. Made burns at prospective site at depths 5, 4.5, 4.0, 3.5, 2.5, 2 mm. After the experiment metal electrode bubbled at several places, not just at the tip. Made recordings of NH and NI neurons.
44;y4o-wang;SR;29.06.2006;03.09.2006;IS3;Zut3;;Claude;0;
45;y1o-o4k;MD NIf recording;04.07.2006;10.07.2006;E1;Zut;;Georg;2;E1,E2 glass electrodes E3 tungsten. Song deteriorated after surgery, bird maybe too young. Barely any song after surgery. E1 and E2 broke when attempted to move 5 days post surgery. E3 probably does not move either - no neurons, signal sounds neural.
46;s16k-p20;"acute, RA rec; UVA und NIf lesion";07.07.2006;07.07.2006;AS;Zong;;Katja;2;
47;y5o-s3k;Song Tutoring;07.07.2006;25.08.2006;IS2;Zut3;;Georg;1;Song tutoring with artificial song, proof of concept.
48;y6o-s3k;Song Tutoring;07.07.2006;25.08.2006;IS5;Zut3;;Georg;1;Song tutoring with artificial song, proof of concept.
49;p18k-s6;SR;07.07.2006;13.07.2006;IS6;Zut3;;Georg;0;Post experiment song recording, bird learned song structure of tutor song.
50;p20k-sg8;acut RA UVA and NIF lesion Lidocain;14.07.2006;14.07.2006;AS;Zong;;Katja;2;
51;b3k;SR;11.07.2006;19.07.2006;IS8;Zut3;;Katja;1;
52;p18k-s6;SR;19.07.2006;10.08.2006;E2;Zirkel;;Claude;0;SR with Labview
53;g3o-r11;SR;19.07.2006;21.07.2006;E1;Zut;;Georg;0;Song test recording for MD NIf experiment - Bird did not sing so switched places with BU.
54;p8o-g14k;Song development recording;21.07.2006;02.10.2006;IS8;Zut3;;Claude;1;
55;p5o-sb;SR;21.07.2006;23.07.2006;E1;Zut;Lacie1TB;Georg;2;Bird sings a lot. Simple song.
56;k6k-g14k;acut: recording in UVA and RA, Lidocain into UVA w;25.07.2006;25.07.2006;AS;Zing;;Katja;2;
