ID;Bird;Cage;Date of Transfer;Who
4;purple20;MK;30.06.2005;
5;purple20;O1;24.10.2005;
6;purple20;M5;27.02.2006;
7;purple13;U1;;
8;purple13;O1;24.10.2005;
9;purple13;M5;27.02.2006;
10;yellow14;O1;27.02.2006;
12;yellow14;M2;24.10.2005;
15;blue2;U1;09.09.2005;
16;blue2;O3;24.10.2005;
17;blue2;O1;27.02.2006;
19;red14;M1;20.06.2005;
20;red14;M2;23.06.2005;
21;red14;M7;25.01.2006;
22;red14;M4;02.03.2006;
24;red2;U5;22.07.2005;
25;red2;U1;15.09.2005;
26;red2;E1;22.09.2005;
27;red2;U1;02.03.2006;
28;purple8;U1;23.06.2005;
29;purple8;M7;25.01.2006;
30;purple8;M4;13.03.2006;
32;o4k-p2;O3;06.02.2006;
33;o4k-p2;IS1;12.02.2006;
34;o4k-p2;O3;;
35;o4k-p2;M1;07.04.2006;
36;green13;U1;30.06.2005;
37;green13;O1;24.10.2005;
38;green13;M5;07.04.2006;
40;p18k-s6;M2;15.02.2006;Georg
41;p18k-s6;IS1;25.04.2006;Georg
42;r12k-ch900;U5;13.03.2006;
43;r12k-ch900;M1;16.04.2006;
44;g4k;M7;;
45;g4k;U1;16.04.2006;
46;silvergreen8;O5;23.09.2005;
47;silvergreen8;M5;15.02.2006;
48;purple5;O5;23.09.2005;
49;purple5;M5;15.02.2006;
50;red16;M1;20.06.2005;
52;red16;M6;12.10.2005;
53;red16;MK;17.12.2005;
54;red16;ZZ;05.01.2006;
56;red16;M4;13.03.2006;
57;green12;M6;13.03.2006;
58;silver2;M5;25.08.2005;
59;silver2;M4;09.12.2005;
60;silver2;M5;19.03.2004;
61;p6k-y8;U1;19.03.2006;
62;k8k-b3k;U4;26.04.2006;Georg
63;s7k-b3k;U4;26.04.2006;Georg
64;g14k;M1;25.01.2006;
65;orange16;MK;19.08.2005;
66;orange16;U1;25.01.2006;
69;p11k-ch900;M5;09.01.2006;
70;p11k-ch900;M1;25.01.2006;
71;g16k;U1;24.01.2006;
72;red11;U4;20.09.2005;
73;red11;IS1;09.12.2005;
74;red11;M5;13.03.2006;
75;b3k;M2;09.12.2005;
76;blue3;O4;22.07.2005;
77;blue3;U1;09.12.2005;
