ID,Birdname,Species,Sex,Birthday,Uncertainty,Cage,Father,Mother,Date of death,Cause of death,Comment,Reserved
19,b10r5,ZF,m,,0,,,,2009-07-24,End of Exp.,bought from qualipet on 10.10.08,0
30,b11r5,ZF,m,,0,,,,2009-07-27,End of Exp.,bought from qualipet on 10.10.08,0
41,b12r5,ZF,m,,0,,,,2008-10-27,End of Exp.,bought from qualipet on 10.10.08,0
52,b13r5,ZF,m,,0,,,,2008-10-15,End of Exp.,bought from qualipet on 10.10.08,0
64,b14r5,ZF,m,,0,,,,2009-05-12,End of Exp.,bought from qualipet on 10.10.08,0
77,b15r5,ZF,m,,0,,,,2009-05-05,End of Exp.,bought from qualipet on 10.10.08,0
137,b1r5,ZF,m,,0,,,,2009-09-15,End of Exp.,bought from qualipet on 10.10.08,0
158,b2r5,ZF,m,,0,,,,2008-11-04,NE,bought from qualipet on 10.10.08. Bird found dead in cage after few days of illness.,0
163,b3k,ZF,m,,0,,,,2007-07-02,End of Exp.,father of  p16k-b3 (ibutenic acid NIf lesion),0
170,b3r5,ZF,m,,0,,,,2009-04-13,NE,bought from qualipet on 10.10.08,0
181,b4r5,ZF,m,,0,,,,,Given away,bought from qualipet on 10.10.08 (It's given away by Richard.),0
192,b5r5,ZF,m,,0,,,,2008-10-14,Surgery,bought from qualipet on 10.10.08,0
202,b6r5,ZF,m,,0,,,,2009-08-07,End of Exp.,bought from qualipet on 10.10.08,0
204,b6r7,ZF,f,,0,,,,2009-06-24,End of Exp.,"created, cause found but not in db, June 15, 2009, michael",0
213,b7r5,ZF,m,,0,,,,2009-06-17,End of Exp.,"bought from qualipet on 10.10.08, reserved for michael",0
217,b8,BF,f,,0,,,,2007-10-19,Perished,was sick (Legestau) and therefore killed. Moritz,0
226,b8r5,ZF,m,,0,,,,2008-10-20,End of Exp.,bought from qualipet on 10.10.08,0
235,b9r5,ZF,m,,0,,,,2009-06-19,End of Exp.,bought from qualipet on 10.10.08,0
240,blue18,ZF,f,,0,,,,2006-06-16,NE,"Do not use for coupling! -> abgegeben an Z""uchter",0
243,blue7,ZF,f,,3,,,,,,is here in the database entered as to be located in M5. I found it ( did I?) in U1 and I gave it away….. Because I couldn't find an entry.,0
389,dneJ2O2e,ZF,u,,4,,,,,,,0
390,dneJM2Bd,ZF,u,,4,,,,,,,0
434,g14k,ZF,m,,0,,,,2007-06-01,End of Exp.,good song.,0
457,g16k,ZF,f,,0,,,,2007-11-01,Given away,Given away to Johanna,0
504,g1k,ZF,f,,0,,,,2007-07-24,Given away,"Had three times only ONE generation of offspring, Given away to Johanna",0
507,g1r1,ZF,m,,.,,,,2007-09-20,NE,bought from Qualipet Glattzentrum on 17.07.07. Georg.,0
528,g2r1,ZF,m,,0,,,,2009-01-12,NE,bought from Qualipet Glattzentrum on 17.07.07. Georg. Strangled himself on a piece of string in cage.,0
539,g3r1,ZF,m,,0,,,,2009-06-25,NE,"bought from Qualipet Glattzentrum on 17.07.07. Georg. missing since 3.7.08 (If you find this bird, please don't use it and let Claude know ASAP. Thanks. 16.06.2009). Not found, presumed dead. (-janie, 25.june.2009)",0
551,g4r1,ZF,m,,0,,,,2009-02-27,End of Exp.,bought from Qualipet Glattzentrum on 17.07.07. Georg.,0
563,g5r1,ZF,m,,0,,,,2008-07-22,End of Exp.,,0
575,g6r1,ZF,m,,0,,,,2009-01-17,End of Exp.,bought from Qualipet Glattzentrum on 17.07.07. Georg.,0
586,g7r1,ZF,m,,0,,,,2008-12-03,End of Exp.,bought from Qualipet Glattzentrum on 17.07.07. Georg.,0
598,g8r1,ZF,m,,0,KM,,,,,Janie. Bought from Qualipet Glattzentrum on 17.07.07. [Good Tutor. His son can sing 7 syllables as a motif. 15.02.2008]. Has lost r1? -10.06.2009).,1
608,g9r1,ZF,m,,0,,,,2009-01-27,End of Exp.,bought from Qualipet Glattzentrum on 17.07.07. Georg.,0
617,goldch900,ZF,m,,0,,,,2008-01-11,NE,luxation on right leg.,0
618,green10,ZF,f,,0,,,,2009-03-20,NE,,0
619,green12,ZF,f,,0,,,,2008-06-09,Given away,Given away to Johanna on 09.06.08,0
620,green13,ZF,f,,0,,,,2009-06-25,NE,"not in U1 - missing. Not found, presumed dead. (-janie, 25.june.2009)",0
623,green3,ZF,f,,1,,,,2006-06-16,NE,"white  -> abgegeben an Z""uchter",0
624,green4,ZF,m,,0,,,,2009-11-03,NE,Had surgery.,0
628,J,ZF,u,,0,,,,,,,0
730,k19r4,ZF,f,,0,,,,2008-08-21,NE,"euthanized, Bird from U4 without any records in database. Claude 29.04.2008. -- There is another female bird k19r4 in the database!! Michael 21.8.2008",0
809,K-G-K209-14,BF,u,,0,A,,,,,"Found in cage A on 25 Aug, 2009 - Janie",0
