Birdname,Species,Sex,Birthday,Uncertainty,Cage,Father,Mother,Date of death,Cause of death,Comment,Reserved
974,ZF,M,7/1/2006,0,U4,,,,,Left behing by Sandra. Good singer. Use as Tutor,FALSE
a3-r16,ZF,,12/29/2006,4,,red16,green12,2/12/2007,End of Exp.,,FALSE
a4-yellow1,ZF,M,6/11/2007,3,,yellow1,green12,7/25/2007,End of Exp.,,FALSE
a5-yellow1,ZF,M,6/11/2007,3,,yellow1,green12,7/30/2007,End of Exp.,,FALSE
a6-r12p,ZF,,7/1/2007,3,,r12p-y7o,o8p-y8,8/21/2007,End of Exp.,,FALSE
a7-o20o,ZF,M,7/15/2007,2,,o20o-ch900,r12o-o4k,8/22/2007,End of Exp.,,FALSE
a8-g6r1,ZF,,9/1/2008,4,,g6r1,p9r2,10/10/2008,End of Exp.,,FALSE
a9-g6r1,ZF,M,9/1/2008,4,,g6r1,p9r2,10/13/2008,End of Exp.,,FALSE
b10br-b3k,ZF,F,3/24/2007,5,,b3k,green9,6/25/2009,NE,"not in KU 01.11.2007. Not found, presumed dead. (-janie, 25.june.2009)",FALSE
b10br-y16p,ZF,F,4/2/2007,3,,y16p-s2,o12o-r12k,7/24/2007,Given away,Given away to Johanna,FALSE
b10k-y6,ZF,M,1/2/2006,0,,yellow6,,9/24/2006,NE,One syllable.,FALSE
b10o-p11k,ZF,M,6/6/2006,2,,p11k-ch900,g16k,1/16/2007,End of Exp.,,FALSE
b10p-red16,ZF,F,12/29/2006,4,,red16,green12,3/29/2007,End of Exp.,,FALSE
b10r1,ZF,M,6/7/2007,1,,y7o-r16,r11o-o4k,12/17/2007,End of Exp.,,FALSE
b10r2,ZF,F,9/1/2007,5,,yellow1,green12,8/21/2008,NE,euthanized,FALSE
b10r3,ZF,M,12/28/2007,4,,b16r1,o11p-p20,11/6/2009,End of Exp.,"There is a bird ringed b10r3 which was listed in the database during coupling as g12r2. Claude marked this ""b10r3"" as dead bird since it no longer exists.  (01.05.2009). Janie resurrected this bird, as it was found in KO on 20 June 2009. Reserved for Janie",TRUE
b10r4,ZF,M,3/7/2008,1,,s3k-y8,r11o-o4k,6/18/2008,Perished,Bird perishe after third urethane injection.,FALSE
b10r5,ZF,M,,0,,,,7/24/2009,End of Exp.,bought from qualipet on 10.10.08,FALSE
b10r6,ZF,M,11/8/2008,4,,b7r5,g19r2,3/2/2009,End of Exp.,,FALSE
b10r7,ZF,M,2/4/2009,7,M5,p5r5,r2s18,,,,FALSE
b10r8,ZF,,6/5/2009,4,,r7p1,p13r5,8/22/2009,NE,,FALSE
b11o-p11k,ZF,M,6/6/2006,2,,p11k-ch900,g16k,7/23/2008,End of Exp.,,FALSE
b11p-red16,ZF,F,12/29/2006,4,,red16,green12,7/24/2007,Given away,Given away to Johanna,FALSE
b11r1,ZF,F,6/30/2007,1,,r3p-r19o,r16o-r11,11/1/2007,Given away,Given away to Johanna,FALSE
b11r2,ZF,F,9/1/2007,5,,yellow1,green12,3/20/2009,NE,,FALSE
b11r3,ZF,M,12/28/2007,4,,b16r1,o11p-p20,,End of Exp.,,FALSE
b11r4,ZF,F,4/8/2008,3,,g9r1,b4p-red11,10/5/2008,End of Exp.,,FALSE
b11r5,ZF,M,,0,,,,7/27/2009,End of Exp.,bought from qualipet on 10.10.08,FALSE
b11r6,ZF,F,11/8/2008,4,,b7r5,g19r2,6/27/2009,NE,,FALSE
b11r7,ZF,M,3/2/2009,0,R6,y16p-s2,o8r5,,,"I may need to record some more videos from this bird, please don't kill him. Alessandro",FALSE
b11r8,ZF,F,5/30/2009,4,2O4,r5y11,p15r5,,,,FALSE
b12o-g14k,ZF,M,6/12/2006,0,,g14k,orange16,4/17/2007,End of Exp.,,FALSE
