ID;Male;Female;Cage;Coupling Date;Separation Date;Success;Comment
5;purple20;purple13;O1;27.02.2006;10.09.2006;3 Gen.;
6;yellow14;blue2;O1;24.10.2005;27.02.2006;1 Gen.;
8;red14;red2;O3;02.03.2006;31.12.2006;3 Gen.;remove nest @19.11.2006, divide @ 18.12.2006
9;red14;purple8;M7;23.06.2005;25.01.2006;;Eggs look full. Please monitor
10;o4k-p2;green13;O4;07.04.2006;02.02.2007;2 Gen.;
11;r12k-ch900;g4k;O5;16.04.2006;02.02.2007;2 Gen.;
12;silvergreen8;purple5;U5;15.02.2006;10.09.2006;1 Gen.;not very succesful couple
13;red16;green12;M3;13.03.2006;04.03.2007;3 Gen.;
14;silver2;p6k-y8;M4;19.03.2006;01.12.2006;3 Gen.;divide @ 26.11.2006
15;g14k;orange16;M6;24.01.2006;22.09.2006;4 Gen.;
17;p11k-ch900;g16k;M7;24.01.2006;16.09.2006;3 Gen.;
18;red11;purple8;U3;12.09.2005;24.11.2006;3 Gen.;
19;b3k;blue3;U4;09.12.2005;07.07.2006;3 Gen.;
20;goldch900;silver1;U5;09.09.2005;26.05.2006;4 Gen.;
21;yellow6;green10;U6;12.09.2005;28.04.2006;3 Gen.;
22;s3k-y8;green14;ZZ2;23.03.2006;12.05.2006;No Success;Female died
23;r9k-s17;p8k;ZZ1;23.03.2006;08.06.2006;1 Gen.;offspring used for song tutoring
25;purple2;yellow8;O3;09.09.2005;13.03.2006;3 Gen.;
26;silver6;green9;U5;21.07.2005;09.09.2005;1 Gen.;
28;silver17;blue10;M3;09.09.2005;13.03.2006;3 Gen.;
29;y13k-s17;p19k-o3;U6;28.04.2006;10.09.2006;3 Gen.;good couple.
30;silverblack;green3;O2;01.07.2004;17.12.2005;4 Gen.;very good couple, female is white
31;silverblack;purple17;O2;13.03.2006;06.10.2006;3 Gen.;removed nest, separate @ 6.10.2006
32;s3k-y8;g1k;ZZ2;12.05.2006;07.06.2006;1 Gen.;Offspring to be song tutored
33;yellow1;blue7;U3;21.07.2005;13.03.2006;3 Gen.;has been coupled before with red18 and silver6, no success
35;yellow8;g5k;U4;07.07.2006;16.02.2007;3 Gen.;"nest removed; divide on 11.02.2007"
36;orange3;red5;O5;23.09.2005;01.04.2006;1 Gen.;
37;silver15;green16;O4;17.09.2005;07.04.2006;1 Gen.;
38;r9k-s17;p8k;ZZ2;07.07.2006;27.03.2007;1 Gen.;
39;s3k-y8;g1k;ZZ2;07.07.2006;08.09.2006;1 Gen.;
41;silver17;blue10;U6;10.09.2006;17.03.2007;2 Gen.;
42;goldch900;silver1;O1;10.09.2006;26.01.2007;;
43;yellow20;blue2;U5;10.09.2006;27.04.2007;3 Gen.;
45;orange3;red5;M7;16.09.2006;25.02.2007;3 Gen.;
46;p14k-p2;k10k-p11k;M6;22.09.2006;28.01.2007;No Success;
48;s17o;s8k-p11k;O2;16.10.2006;13.05.2007;2 Gen.;nest removed
49;yellow14;green16;M3B;30.10.2006;02.02.2007;1 Gen.;
50;s19o;green10;M4B;30.10.2006;13.05.2007;3 Gen.;Removed father! Separate when offspring is 60dph.
52;red11;purple16;U3B;30.10.2006;13.05.2007;3 Gen.;Nest removed
53;o11o-r12k;b20o-ch900;U4B;30.10.2006;17.03.2007;No Success;
54;r19o-r11;g1k;ZZ1;25.11.2006;27.03.2007;1 Gen.;
55;silverblack;blue3;U3;24.11.2006;08.06.2007;2 Gen.;
57;purple20;purple13;M1;01.12.2006;13.07.2007;3 Gen.;
58;yellow1;p19k-o3;M1B;01.12.2006;27.03.2007;1 Gen.;seperated
59;y13k-s17;purple5;M2;01.12.2006;17.03.2007;1 Gen.;
61;s14k-r16;p3o-sb;M5;09.12.2006;01.06.2007;3 Gen.;Nest removed, separate when offsprings are 60dph
62;y7o-r16;r11o-o4k;M5B;09.12.2006;05.08.2007;4 Gen.;nest removed
63;s18o;orange16;M2B;01.12.2006;27.04.2007;1 Gen.;Only one generation, separated
64;p11k-ch900;g16k;M4;14.12.2006;17.03.2007;;
66;b11o-p11k;g9b-o4k;U2;05.01.2007;27.03.2007;No Success;
67;g14k;p14b-r16;U2B;05.01.2007;27.03.2007;No Success;
68;s3k-y8;k9k-ch900;O3;28.01.2007;05.08.2007;4 Gen.;good couple!
70;silver15;p6k-y8;M6;02.02.2007;06.07.2007;2 Gen.;
71;b3k;green9;O1;02.02.2007;08.06.2007;1 Gen.;Only 1 Gen
75;silver2;green16;O4;09.02.2007;13.05.2007;1 Gen.;
76;red14;red2;M3B;10.02.2007;31.08.2007;1 Gen.;90d without offsprings
79;yellow14;k10k-p11k;O5;19.02.2007;23.04.2007;No Success;
80;p14k-p2;purple8;U4;05.03.2007;31.08.2007;3 Gen.;
82;y16p-s2;o12o-r12k;M3;10.03.2007;30.11.2007;3 Gen.;
83;red16;g18k-y6;M7;10.03.2007;07.12.2007;5 Gen.;
85;b8o-p11k;r2b-o3;O4B;24.03.2007;27.07.2007;2 Gen.;
86;s20o-yellow20;b4p-red11;U5B;24.03.2007;06.07.2007;1 Gen.;
87;orange3;g4k;U6B;21.03.2007;01.06.2007;No Success;
88;goldch900;purple17;M4;21.03.2007;31.08.2007;2 Gen.;96d without offsprings
89;o4k-p2;green13;U4B;21.03.2007;07.10.2007;3 Gen.;
91;o20o-ch900;r12o-o4k;U6;21.03.2007;16.09.2007;2 Gen.;
92;silvergreen8;silver1;M2;21.03.2007;04.07.2007;1 Gen.;
94;b5p-red11;b16p-y13k;ZZ1;27.03.2007;08.06.2007;No Success;
95;g1o-g14k;g15p-purple20;ZZ2;27.03.2007;28.12.2007;2 Gen.;
96;r5p-red11;o1p-silver17;U2;28.03.2007;08.06.2007;No Success;Unsuccesful
97;r3p-r19o;r16o-r11;U2B;28.03.2007;07.10.2007;3 Gen.;.
98;b13g-red11;s11p-yellow8;M1B;28.03.2007;30.11.2007;3 Gen.;
99;g13p-purple20;s13p-yellow8;M7B;01.04.2007;06.07.2007;1 Gen.;
100;r12p-y7o;o8p-y8;U7;04.05.2007;10.12.2007;3 Gen.;
101;r6p-r9k;b9p-red16;M2B;04.05.2007;13.07.2007;;
102;s2b-y8;r8p-s19o;U5;04.05.2007;27.10.2007;3 Gen.;nest removed
103;b11o-p11k;g9b-o4k;U3B;20.05.2007;07.09.2007;1 Gen.;
104;yellow1;green12;O4;20.05.2007;24.11.2007;1 Gen.;separated
105;yellow20;blue2;M4B;20.05.2007;30.11.2007;3 Gen.;
106;r12k-ch900;g16k;O2;27.05.2007;31.08.2007;No Success;96d together, no offsprings
107;p11k-ch900;b20o-ch900;O2B;27.05.2007;25.01.2008;2 Gen.;
108;s14k-r16;b18p-s14k;M5;08.06.2007;07.09.2007;;Separate if no offspring by 7.9
110;orange3;r9p-s19o;U6B;08.06.2007;12.10.2007;1 Gen.;Separated after 1 gen
112;y13k-s17;g4k;O1;17.06.2007;07.09.2007;No Success;
113;red11;p3o-sb;U2;17.06.2007;11.01.2008;4 Gen.;nest removed
114;s17o;green10;U3;17.06.2007;14.12.2007;3 Gen.;nest removed
116;p20p-b3k;r7g-yellow8;ZZ1;25.06.2007;07.10.2007;;
118;s20o-yellow20;p19k-o3;M2;15.07.2007;14.03.2008;2 Gen.;seperated
119;r6p-r9k;red5;M6;15.07.2007;15.12.2007;1 Gen.;
120;silvergreen8;green16;M7B;15.07.2007;20.02.2008;4 Gen.;
122;g7r1;orange16;M2B;18.07.2007;25.01.2008;2 Gen.;
123;g8r1;b7br-b3k;M1;20.07.2007;04.02.2008;3 Gen.;Nest removed.
124;g6r1;p14b-r16;U5B;20.07.2007;29.02.2008;4 Gen.;
125;y7o-r16;purple16;O4B;05.08.2007;20.02.2008;3 Gen.;nest removed
127;g5r1;purple13;M5B;11.08.2007;12.07.2008;4 Gen.;good couple!
128;g2r1;r1y17;O3;31.08.2007;11.01.2008;2 Gen.;
132;g4r1;r2b-o3;O2;07.09.2007;11.01.2008;3 Gen.;
133;g1r1;o9o10;M3B;14.09.2007;20.09.2007;;g1r1 died
134;g3r1;purple8;M4;14.09.2007;08.02.2008;1 Gen.;
135;g9r1;b4p-red11;M5;14.09.2007;19.07.2008;5 Gen.;
136;p16p-r11;s11o-sb;U3B;23.09.2007;30.11.2007;;
137;y13k-s17;r14w-silver17;O1;23.09.2007;11.01.2008;1 Gen.;
139;y5o-s3k;purple17;U6;23.09.2007;03.02.2008;2 Gen.;
142;yellow10;o9o10;M3B;23.09.2007;12.07.2008;3 Gen.;
143;b8o-p11k;s13p-yellow8;U4;01.10.2007;19.06.2008;4 Gen.;nest removed
144;o18r1;r10br-o4k;U2B;12.10.2007;11.01.2008;1 Gen.;
145;r2r7;r1y16;U4B;12.10.2007;11.01.2008;No Success;
146;b16r1;p10r2;U6B;07.03.2008;10.03.2008;2 Gen.;The father of the juveniles o15r3, o16r3 and o17r3.
147;s2b-y8;k9k-ch900;U5;17.11.2007;10.02.2008;1 Gen.;
148;r2s4;y8o-r16;M3;07.12.2007;11.08.2008;3 Gen.;
150;o1r1;r7g-yellow8;M4B;07.12.2007;01.08.2008;3 Gen.;nest removed
151;r2s7;b12r2;M1B;07.12.2007;14.03.2008;1 Gen.;divided
152;s3k-y8;r11o-o4k;M7;28.12.2007;09.05.2008;1 Gen.;
154;g13p-purple20;r8p-s19o;O4;28.12.2007;09.05.2008;1 Gen.;
155;r3p-r19o;s11p-yellow8;U3B;28.12.2007;05.09.2008;3 Gen.;
156;o20o;r16o-r11;U3;28.12.2007;21.08.2008;3 Gen.;nest removed
157;silver15;o8p-y8;M6;07.01.2008;29.08.2008;3 Gen.;
158;p16p-r11;green10;U1;07.01.2008;05.09.2008;3 Gen.;
159;p14k-p2;blue2;U7;07.01.2008;19.07.2008;3 Gen.;
161;g8r2;b11r2;O1;18.01.2008;26.07.2008;3 Gen.;
162;k7r1;r14w-silver17;O2;18.01.2008;21.08.2008;3 Gen.;nest removed
164;p9r1;g7r2;O3;18.01.2008;18.04.2008;1 Gen.;
165;o18r1;b10r2;U2;18.01.2008;18.04.2008;1 Gen.;
166;r5r16;r2y9;U2B;18.01.2008;16.05.2008;;At 90d since coupled didn't have nesting material
168;r3y12;r3y10;2M4;29.01.2008;19.12.2008;1 Gen.;
169;r3y7;r3y4;O2B;29.01.2008;03.10.2008;No Success;
170;r3y11;r3y2;U4B;29.01.2008;14.08.2008;No Success;no offspring for 7 months
173;r2s6;r2y1;M1;14.03.2008;29.08.2008;3 Gen.;nest removed
174;o19r2;r2s20;O4B;14.03.2008;22.09.2008;3 Gen.;
175;r3s3;k12r2;M7B;14.03.2008;28.12.2008;3 Gen.;
176;r3y3;r3y9;M2;17.03.2008;14.08.2008;No Success;no offspring after 5 months
177;r3y1;K-K-K209-15;2M4B;08.04.2008;30.01.2009;3 Gen.;
